 1 jets bin data
 		 mumu 		 mue 		 emu 		 ee 		 ll
120		0.39 +/- 0.39		3.1 +/- 1.4		2.1 +/- 1.4		0.36 +/- 0.29		5.4 +/- 2
130		0.36 +/- 0.62		3.5 +/- 1.5		1.9 +/- 1.4		0.77 +/- 0.45		6.5 +/- 2.2
140		0.6 +/- 0.77		2.7 +/- 1.2		1.6 +/- 1		0.92 +/- 0.51		5.8 +/- 1.8
150		1.4 +/- 1		1.4 +/- 0.72		0.94 +/- 0.55		0.56 +/- 0.4		4.4 +/- 1.4
160		1.1 +/- 0.89		0.97 +/- 0.53		1.2 +/- 0.63		0.27 +/- 0.27		3.1 +/- 1.2
170		1.4 +/- 0.97		0.31 +/- 0.27		0.95 +/- 0.54		0.25 +/- 0.25		2.6 +/- 1.2
180		2.2 +/- 1.3		0.57 +/- 0.4		0.75 +/- 0.45		0.27 +/- 0.27		3.4 +/- 1.4
190		2.2 +/- 1.2		0.62 +/- 0.42		1.6 +/- 0.85		0.13 +/- 0.34		4.5 +/- 1.6
200		2.3 +/- 1.3		0.83 +/- 0.5		2.1 +/- 1		0.32 +/- 0.32		5.3 +/- 1.7
250		1.7 +/- 1.1		0.36 +/- 0.36		4 +/- 1.7		0.34 +/- 0.34		5.9 +/- 2.1
300		0.63 +/- 0.64		0.29 +/- 0.29		4.8 +/- 2		0.76 +/- 0.51		6.2 +/- 2.2
350		0.094 +/- 0.32		0.047 +/- 0.28		4.5 +/- 1.9		1.2 +/- 0.62		5.9 +/- 2
400		0.18 +/- 0.32		0.23 +/- 0.23		5 +/- 2			1.3 +/- 0.64		6.3 +/- 2.2
450		0.051 +/- 0.23		0.17 +/- 0.25		3.2 +/- 1.4		1.6 +/- 0.71		5 +/- 1.6
500		0.089 +/- 0.23		0.16 +/- 0.23		2.6 +/- 1.2		1.3 +/- 0.61		4.2 +/- 1.4
550		0.11 +/- 0.23		0.26 +/- 0.24		2.5 +/- 1.1		1.4 +/- 0.63		4.2 +/- 1.3
600		0.12 +/- 0.23		0.32 +/- 0.25		2.1 +/- 1		0.99 +/- 0.48		3.5 +/- 1.2
