 2 jets bin data
 		 mumu 		 mue 		 emu 		 ee 		 ll
120		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
130		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
140		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
150		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
160		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
170		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
180		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
190		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
200		 0.012 +/- 0.012		0.25 +/- 0.28		0.37 +/- 0.52		0.24 +/- 0.17		0.85 +/- 0.62
250		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
300		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
350		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
400		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
450		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
500		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
550		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
600		 0.093 +/- 0.093		0.23 +/- 0.28		0.44 +/- 0.54		0.16 +/- 0.17		0.73 +/- 0.64
