110		2.9     0.91
115		2.9     0.91
120		4.1     1.1
125		5.6     1.4
130		5.7     1.4
135		7.1     1.6
140		5.6     1.4
145		5.3     1.4
150		1.7     0.83
155		1.4     0.77
160		0.086     0.086
170		0.077     0.077
180		0.98     0.7
190		1.1     0.71
200		0.9     0.63
250		0.061     0.092
300		0.063     0.1
350		0.076     0.1
400		0.088     0.1
450		0     0
500		0     0
550		0     0
600		0     0
700		0     0
800		0     0
900		0     0
1000		0     0
