110	193.00000	0.03336	0.00560
115	193.00000	0.03336	0.00560
118	193.00000	0.04040	0.00671
120	193.00000	0.04739	0.00782
122	193.00000	0.04682	0.00773
124	193.00000	0.04571	0.00755
126	193.00000	0.04503	0.00745
128	193.00000	0.04344	0.00719
130	193.00000	0.04350	0.00720
135	193.00000	0.04589	0.00758
140	193.00000	0.04523	0.00748
150	193.00000	0.04162	0.00691
160	193.00000	0.02410	0.00413
170	193.00000	0.02209	0.00381
180	193.00000	0.02689	0.00457
190	193.00000	0.04007	0.00666
200	193.00000	0.04783	0.00789
250	193.00000	0.08030	0.01303
300	193.00000	0.09217	0.01491
350	193.00000	0.08267	0.01340
400	193.00000	0.07187	0.01169
450	193.00000	0.04949	0.00815
500	193.00000	0.03860	0.00643
550	193.00000	0.03034	0.00512
600	193.00000	0.02502	0.00427
