110	20	0.026582	0.0058585
115	27	0.0471828	0.0112208
120	33	0.0444416	0.0106616
130	41	0.0493272	0.0111415
140	54	0.04924	0.011044
150	61	0.0418109	0.00758745
160	65	0.0400679	0.00731895
170	68	0.0400749	0.0072989
180	70	0.0411932	0.00761315
190	73	0.0450378	0.00872035
200	75	0.054414	0.0121394
250	79	0.061746	0.0162485
300	83	0.061968	0.0161649
350	84	0.0486878	0.0131613
400	84	0.061336	0.01575
450	84	0.0611365	0.0157024
500	85	0.061324	0.0157434
550	85	0.0612495	0.0157257
600	85	0.0641435	0.0182203
